
 num     #instances         #bytes  class name
 108:            57           1368  com.gemstone.gemfire.internal.cache.RegionMap$Attributes
 109:            81           1296  com.gemstone.gemfire.cache.SubscriptionAttributes
 110:            27           1296  java.net.Inet6Address
 111:            54           1296  com.gemstone.gemfire.internal.cache.DistributedRegion$AdvisorListener
 112:            23           1288  java.security.Provider$Service
 113:            78           1248  java.util.jar.Attributes$Name
 114:            13           1248  sun.util.calendar.Gregorian$Date
 115:            31           1240  java.util.Hashtable
 116:            19           1216  com.gemstone.gemfire.internal.LogWriterImpl$LoggingThreadGroup
 117:            50           1200  com.gemstone.gemfire.internal.ObjIdConcurrentMap$HashEntry
 118:            50           1200  com.gemstone.gemfire.internal.cache.BucketAdvisor$VolunteeringDelegate
 119:            50           1200  com.gemstone.gemfire.internal.cache.ha.ThreadIdentifier
 120:            16           1152  com.gemstone.gemfire.internal.LocalStatisticsImpl
 121:            47           1128  com.gemstone.gemfire.cache.Operation
 122:            20           1120  com.gemstone.org.jgroups.Message
 123:            69           1104  java.util.concurrent.atomic.AtomicIntegerArray
 124:            46           1104  java.security.Provider$ServiceKey
 125:            46           1104  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 126:            68           1088  java.util.concurrent.CopyOnWriteArrayList
 127:            33           1056  com.gemstone.org.jgroups.util.Queue
 128:             1           1040  [Lcom.gemstone.gemfire.internal.DataSerializableFixedID;
 129:             1           1040  [Ljava.lang.Integer;
 130:             1           1040  [Ljava.lang.Long;
 131:             1           1040  [Ljava.lang.Byte;
 132:            32           1024  com.gemstone.gemfire.internal.ObjIdConcurrentMap$Segment
 133:            32           1024  java.util.regex.Pattern$Curly
 134:            14           1008  com.gemstone.gemfire.internal.cache.PartitionAttributesImpl
 135:            62            992  [Lsun.reflect.generics.tree.TypeArgument;
 136:             2            992  com.gemstone.gemfire.internal.cache.PartitionedRegion
 137:            15            960  java.util.regex.Pattern
 138:            39            936  com.gemstone.gemfire.internal.stats50.Atomic50StatisticsImpl$ThreadStorage
 139:            58            928  com.gemstone.gemfire.internal.cache.LocalRegion$Stopper
 140:            38            912  java.security.AccessControlContext
 141:            14            896  java.text.DecimalFormatSymbols
 142:            56            896  com.gemstone.gemfire.internal.concurrent.ReentrantLock5
 143:            37            888  java.net.Inet4Address
 144:            54            864  java.util.concurrent.CopyOnWriteArraySet
 145:            18            864  java.util.LinkedHashMap
 146:            53            848  com.gemstone.gemfire.internal.util.concurrent.StoppableNonReentrantLock
 147:            35            840  sun.reflect.NativeConstructorAccessorImpl
 148:             7            840  java.util.TimerThread
 149:            52            832  com.gemstone.gemfire.distributed.internal.locks.DLockService$ThreadRequestState
 150:            50            800  com.gemstone.gemfire.distributed.internal.AtomicLongWithTerminalState
 151:            32            800  [Lcom.gemstone.gemfire.internal.ObjIdConcurrentMap$HashEntry;
 152:            10            800  com.gemstone.gemfire.internal.stats50.Atomic50StatisticsImpl
 153:            49            784  java.util.concurrent.atomic.AtomicLongArray
 154:            14            784  sun.reflect.DelegatingClassLoader
 155:            14            784  com.gemstone.org.jgroups.stack.IpAddress
 156:            30            720  java.security.Provider$EngineDescription
 157:             3            720  com.gemstone.gemfire.internal.tcp.Connection
 158:             6            720  java.net.SocksSocketImpl
 159:            11            704  java.text.SimpleDateFormat
 160:            43            688  java.util.concurrent.atomic.AtomicInteger
 161:            17            680  sun.misc.URLClassPath$JarLoader
 162:             2            680  [Lcom.gemstone.gemfire.internal.cache.ProxyBucketRegion;
 163:            42            672  sun.reflect.DelegatingConstructorAccessorImpl
 164:            19            672  [Ljava.lang.Thread;
 165:            14            672  sun.util.calendar.ZoneInfo
 166:            12            672  java.nio.DirectByteBuffer
 167:            10            640  sun.nio.cs.ext.JIS_X_0201$Encoder
 168:            16            640  com.gemstone.gemfire.internal.StatisticsTypeImpl
 169:            20            640  com.gemstone.org.jgroups.protocols.pbcast.NakAckHeader
 170:            39            624  java.util.jar.Attributes
 171:            39            624  java.util.regex.Pattern$CharPropertyNames$1
 172:             6            624  sun.nio.ch.SocketChannelImpl
 173:            19            608  java.util.Locale
 174:            18            576  com.gemstone.org.jgroups.View
 175:             8            576  java.util.jar.JarFile$JarFileEntry
 176:            12            576  java.util.TreeMap
 177:            14            560  java.text.DigitList
 178:            10            560  sun.nio.cs.ext.MS932$Encoder
 179:            33            528  java.util.Collections$SynchronizedSet
 180:            11            528  java.nio.HeapByteBuffer
 181:             6            528  com.gemstone.gemfire.distributed.internal.PooledExecutorWithDMStats
 182:            22            528  java.io.FileDescriptor
 183:            23            520  [Ljava.io.ObjectStreamField;
 184:            12            480  sun.misc.Cleaner
 185:            10            480  sun.nio.cs.StreamEncoder
 186:            20            480  sun.nio.cs.Surrogate$Parser
 187:            30            480  java.io.File
 188:            29            464  [Ljava.security.ProtectionDomain;
