
 num     #instances         #bytes  class name
 115:            47            752  java.util.concurrent.atomic.AtomicIntegerArray
 116:            31            744  com.gemstone.gemfire.cache.MembershipAttributes
 117:             7            728  sun.nio.ch.SocketChannelImpl
 118:             3            720  com.gemstone.gemfire.internal.tcp.Connection
 119:             6            720  java.net.SocksSocketImpl
 120:            30            720  java.security.Provider$EngineDescription
 121:            30            720  java.lang.ref.WeakReference
 122:            44            704  java.util.concurrent.atomic.AtomicInteger
 123:            11            704  java.text.SimpleDateFormat
 124:            29            696  java.util.LinkedList$Entry
 125:            17            680  sun.misc.URLClassPath$JarLoader
 126:             2            680  [Lcom.gemstone.gemfire.internal.cache.ProxyBucketRegion;
 127:            14            672  sun.util.calendar.ZoneInfo
 128:            41            656  sun.reflect.DelegatingConstructorAccessorImpl
 129:            10            640  sun.nio.cs.ext.JIS_X_0201$Encoder
 130:            13            624  java.util.ResourceBundle$CacheKey
 131:            39            624  java.util.regex.Pattern$CharPropertyNames$1
 132:            19            608  java.util.Locale
 133:            38            608  java.util.jar.Attributes
 134:             8            576  java.util.jar.JarFile$JarFileEntry
 135:            12            576  java.util.TreeMap
 136:            14            560  java.text.DigitList
 137:            10            560  sun.nio.cs.ext.MS932$Encoder
 138:            14            560  com.gemstone.gemfire.internal.StatisticsTypeImpl
 139:            23            552  java.io.FileDescriptor
 140:            34            544  com.gemstone.gemfire.internal.concurrent.AtomicLong5
 141:            15            544  [Ljava.lang.Thread;
 142:            34            544  com.gemstone.gemfire.internal.concurrent.CountDownLatch5
 143:            33            528  java.util.Collections$SynchronizedSet
 144:             6            528  com.gemstone.gemfire.distributed.internal.PooledExecutorWithDMStats
 145:            33            528  com.gemstone.gemfire.internal.util.concurrent.StoppableCountDownLatch
 146:            13            520  java.util.ResourceBundle$BundleReference
 147:            32            512  [Lcom.gemstone.gemfire.internal.ObjIdConcurrentMap$HashEntry;
 148:             9            504  com.gemstone.org.jgroups.Message
 149:             9            504  sun.reflect.DelegatingClassLoader
 150:            31            496  com.gemstone.gemfire.cache.SubscriptionAttributes
 151:            21            488  [Ljava.io.ObjectStreamField;
 152:            20            480  sun.nio.cs.Surrogate$Parser
 153:            30            480  java.io.File
 154:            10            480  sun.nio.cs.StreamEncoder
 155:            10            480  java.nio.HeapByteBuffer
 156:            29            464  [Ljava.security.ProtectionDomain;
 157:             7            448  com.gemstone.gemfire.distributed.internal.membership.InternalDistributedMember
 158:            28            448  java.util.Hashtable$KeySet
 159:             6            440  [D
 160:            18            432  java.util.LinkedList
 161:            27            432  java.util.concurrent.atomic.AtomicLongArray
 162:             9            432  java.util.jar.JarFile
 163:             1            424  com.gemstone.gemfire.internal.cache.tier.sockets.CacheServerStats
 164:            13            416  java.util.ResourceBundle$LoaderReference
 165:            17            408  com.gemstone.gemfire.internal.stats50.Atomic50StatisticsImpl$ThreadStorage
 166:            10            400  java.io.BufferedWriter
 167:             5            400  [Ljava.util.WeakHashMap$Entry;
 168:            12            384  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 169:            16            384  java.util.regex.Pattern$GroupTail
 170:            23            368  java.security.Provider$UString
 171:            23            368  com.gemstone.gemfire.cache.RegionShortcut
 172:            15            360  java.util.Date
 173:            15            360  java.io.ExpiringCache$Entry
 174:            22            352  java.util.HashMap$KeySet
 175:             1            344  com.gemstone.gemfire.internal.cache.LocalRegion
 176:            21            336  java.util.Collections$UnmodifiableSet
 177:             7            336  sun.management.MemoryPoolImpl
 178:            10            320  com.gemstone.org.jgroups.protocols.pbcast.Digest$Entry
 179:            10            320  java.util.Collections$SynchronizedMap
 180:            10            320  com.gemstone.org.jgroups.util.BoundedList
 181:             3            320  [Ljava.math.BigInteger;
 182:            13            312  java.lang.ref.ReferenceQueue
 183:            13            312  java.net.InterfaceAddress
 184:            13            312  java.util.concurrent.Semaphore$NonfairSync
 185:             1            312  com.gemstone.org.jgroups.protocols.UDP
 186:            19            304  java.util.concurrent.ConcurrentLinkedQueue$Node
 187:            18            288  java.util.concurrent.CopyOnWriteArrayList
 188:             4            288  java.util.concurrent.ThreadPoolExecutor
 189:            18            288  java.text.DateFormat$Field
 190:             9            288  com.gemstone.org.jgroups.protocols.pbcast.NakAckHeader
 191:             4            288  com.gemstone.gemfire.internal.cache.persistence.PersistenceAdvisorImpl
